Customer_ID,Customer Country,Booking_ID,Hotel,City,Booking Date,Lead Time ,Arrival Date,Adults,Childrens,Total Guests,No. of Weekend Nights,No. of Week Nights,Total Nights Stay,Meal Type,Booking Status,Customer Cancel Count,Average Daily Rate,Market Segment,Reserved Room Type,Assigned Room Type,Special Request
CUST_570,India,INN00001,Resort Hotel,Hyderabad,20-Aug-23,342,27-Jul-24,2,0,2,2,5,7,Breakfast,0,1,135,Online Self / TA,Deluxe,Premium,0
CUST_164,UK,INN00002,Resort Hotel,Goa,20-Mar-23,405,28-Apr-24,2,0,2,1,3,4,Not Selected,1,1,0,Online Self / TA,Deluxe,Deluxe,0
CUST_420,India,INN00003,Resort Hotel,Mumbai,3-Sep-24,7,10-Sep-24,2,0,2,1,3,4,Breakfast,0,0,75,Direct,Standard,Standard,0
CUST_278,Australia,INN00004,City Hotel,Kochi,1-Aug-24,13,14-Aug-24,2,0,2,0,2,2,Breakfast,1,1,75,Online Self / TA,Standard,Standard,0
CUST_572,India,INN00005,City Hotel,Jaipur,31-Aug-24,14,14-Sep-24,2,0,2,1,2,3,Not Selected,1,2,98,Online Self / TA,Standard,Deluxe,1
CUST_198,Australia,INN00006,Resort Hotel,Chennai,9-Oct-24,14,23-Oct-24,2,2,4,0,2,2,Breakfast & Dinner,1,1,98,Direct,Standard,Deluxe,1
CUST_441,India,INN00007,Resort Hotel,Kolkata,7-Jan-24,0,7-Jan-24,2,0,2,1,4,5,Breakfast,0,0,107,Company TA/TO,Deluxe,Premium,0
CUST_371,India,INN00008,Resort Hotel,Delhi,30-Jul-24,9,8-Aug-24,2,0,2,1,3,4,Breakfast,1,1,103,Online Self / TA,Deluxe,Deluxe,1
CUST_401,India,INN00009,Resort Hotel,Kochi,1-Jun-24,85,25-Aug-24,1,0,1,0,4,4,Breakfast,0,0,82,Company TA/TO,Standard,Standard,1
CUST_250,India,INN00010,City Hotel,Bangalore,4-Oct-24,75,18-Dec-24,2,0,2,0,5,5,Breakfast,0,1,106,Company TA/TO,Deluxe,Deluxe,0
CUST_271,India,INN00011,City Hotel,Kochi,1-Aug-24,23,24-Aug-24,3,0,3,1,0,1,Not Selected,0,0,123,Company TA/TO,Premium,Premium,0
CUST_350,India,INN00012,Resort Hotel,Kolkata,21-Feb-24,35,27-Mar-24,2,0,2,2,1,3,Breakfast,0,0,145,Online Self / TA,Deluxe,Deluxe,0
CUST_188,Australia,INN00013,Resort Hotel,Delhi,25-Dec-23,68,2-Mar-24,2,0,2,2,1,3,Not Selected,0,1,97,Company TA/TO,Deluxe,Deluxe,3
CUST_048,Australia,INN00014,Resort Hotel,Kochi,22-May-24,18,9-Jun-24,2,0,2,2,0,2,Breakfast,1,1,155,Online Self / TA,Premium,Premium,1
CUST_307,UAE,INN00015,City Hotel,Delhi,9-May-24,37,15-Jun-24,2,0,2,0,2,2,Breakfast,0,0,95,Direct,Premium,Premium,0
CUST_516,France,INN00016,Resort Hotel,Indore,17-Apr-24,68,24-Jun-24,2,0,2,0,2,2,Breakfast & Dinner,0,0,97,Direct,Deluxe,Deluxe,3
CUST_007,UAE,INN00017,City Hotel,Kochi,12-Dec-23,37,18-Jan-24,1,0,1,1,0,1,Breakfast,1,1,98,Direct,Premium,Premium,0
CUST_315,Germany,INN00018,City Hotel,Delhi,5-Dec-24,12,17-Dec-24,2,0,2,1,3,4,Not Selected,1,2,88,Direct,Standard,Standard,0
CUST_287,UAE,INN00019,City Hotel,Bangalore,17-Apr-24,0,17-Apr-24,2,0,2,2,2,4,Breakfast,1,1,107,Direct,Standard,Standard,0
CUST_528,Australia,INN00020,City Hotel,Lucknow,4-Nov-24,7,11-Nov-24,2,0,2,1,0,1,Breakfast,0,1,153,Online Self / TA,Premium,Premium,1
