Hotel,Customer Country,Customer ID,Booking_ID,Booking Date,Lead Time,Arrival Date,Weekend Nights,Week Nights,Adults,Children,is_canceled,Meal,Market Segment,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,Customer Cancel Count,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
Resort Hotel - Chandigarh,India,CUST_570,INN00001,20-Aug-23,342,27-Jul-24,0,0,2,0,0,BB,Direct,0,0,0,C,C,3,1,135,0,0,Check-Out
Resort Hotel - Mumbai,UK,CUST_164,INN00002,20-Mar-23,737,28-Apr-24,0,0,2,0,0,BB,Direct,0,0,0,C,C,4,1,0,0,0,Check-Out
Resort Hotel - Delhi,India,CUST_420,INN00003,3-Sep-24,7,10-Sep-24,0,1,1,0,0,BB,Direct,0,0,0,A,C,0,0,75,0,0,Check-Out
Resort Hotel - Kolkata,Australia,CUST_278,INN00004,1-Aug-24,13,14-Aug-24,0,1,1,0,0,BB,Corporate,0,0,0,A,A,0,1,75,0,0,Check-Out
Resort Hotel - Lucknow,India,CUST_572,INN00005,31-Aug-24,14,14-Sep-24,0,2,2,0,0,BB,Online TA,0,0,0,A,A,0,2,98,0,1,Check-Out
Resort Hotel - Delhi,Australia,CUST_198,INN00006,9-Oct-24,14,23-Oct-24,0,2,2,0,0,BB,Online TA,0,0,0,A,A,0,1,98,0,1,Check-Out
Resort Hotel - Indore,India,CUST_441,INN00007,7-Jan-24,0,7-Jan-24,0,2,2,0,0,BB,Direct,0,0,0,C,C,0,0,107,0,0,Check-Out
Resort Hotel - Ahmedabad,India,CUST_371,INN00008,30-Jul-24,9,8-Aug-24,0,2,2,0,0,FB,Direct,0,0,0,C,C,0,1,103,0,1,Check-Out
Resort Hotel - Delhi,India,CUST_401,INN00009,1-Jun-24,85,25-Aug-24,0,3,2,0,1,BB,Online TA,0,0,0,A,A,0,0,82,0,1,Canceled
Resort Hotel - Pune,India,CUST_250,INN00010,4-Oct-24,75,18-Dec-24,0,3,2,0,1,HB,Offline TA/TO,0,0,0,D,D,0,1,105.5,0,0,Canceled
Resort Hotel - Chennai,India,CUST_271,INN00011,1-Aug-24,23,24-Aug-24,0,4,2,0,1,BB,Online TA,0,0,0,E,E,0,0,123,0,0,Canceled
Resort Hotel - Chennai,India,CUST_350,INN00012,21-Feb-24,35,27-Mar-24,0,4,2,0,0,HB,Online TA,0,0,0,D,D,0,0,145,0,0,Check-Out
Resort Hotel - Bhopal,Australia,CUST_188,INN00013,25-Dec-23,68,2-Mar-24,0,4,2,0,0,BB,Online TA,0,0,0,D,E,0,1,97,0,3,Check-Out
Resort Hotel - Lucknow,Australia,CUST_048,INN00014,22-May-24,18,9-Jun-24,0,4,2,1,0,HB,Online TA,0,0,0,G,G,1,1,154.77,0,1,Check-Out
Resort Hotel - Hyderabad,UAE,CUST_307,INN00015,9-May-24,37,15-Jun-24,0,4,2,0,0,BB,Online TA,0,0,0,E,E,0,0,94.71,0,0,Check-Out
Resort Hotel - Mumbai,France,CUST_516,INN00016,17-Apr-24,68,24-Jun-24,0,4,2,0,0,BB,Online TA,0,0,0,D,E,0,0,97,0,3,Check-Out
Resort Hotel - Kochi,UAE,CUST_007,INN00017,12-Dec-23,37,18-Jan-24,0,4,2,0,0,BB,Offline TA/TO,0,0,0,E,E,0,1,97.5,0,0,Check-Out
Resort Hotel - Chennai,Germany,CUST_315,INN00018,5-Dec-24,12,17-Dec-24,0,1,2,0,0,BB,Online TA,0,0,0,A,E,0,2,88.2,0,0,Check-Out
Resort Hotel - Mumbai,UAE,CUST_287,INN00019,17-Apr-24,0,17-Apr-24,0,1,2,0,0,BB,Corporate,0,0,0,A,G,0,1,107.42,0,0,Check-Out
Resort Hotel - Delhi,Australia,CUST_528,INN00020,4-Nov-24,7,11-Nov-24,0,4,2,0,0,BB,Direct,0,0,0,G,G,0,1,153,0,1,Check-Out
Resort Hotel - Pune,India,CUST_070,INN00021,17-Oct-24,37,23-Nov-24,1,4,1,0,0,BB,Online TA,0,0,0,F,F,0,0,97.29,0,1,Check-Out
Resort Hotel - Bangalore,Australia,CUST_418,INN00022,2-Nov-23,72,13-Jan-24,2,4,2,0,0,BB,Direct,0,0,0,A,A,1,1,84.67,0,1,Check-Out
Resort Hotel - Bhopal,India,CUST_060,INN00023,23-Apr-24,72,4-Jul-24,2,4,2,0,0,BB,Direct,0,0,0,A,A,1,0,84.67,0,1,Check-Out
